# Rime user dictionary
#@/db_name	dust_flypy
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	1031
#@/user_id	bc54eb90-dfc3-4ad5-9cc1-8d1b050ca8b0
a 	啊	c=4 d=1.78299 t=1031
xuan lan 	绚烂	c=1 d=0.860708 t=1031
xuan yun 	眩晕	c=1 d=0.941765 t=1031
xuan ze 	选择	c=1 d=0.891366 t=1031
xue wei 	学位	c=1 d=0.99005 t=1031
xue xi 	学习	c=1 d=0.99005 t=1031
xue zhi qian 	薛之谦	c=1 d=0.99005 t=1031
ya dao 	压倒	c=1 d=0.932394 t=1031
yan 	言	c=1 d=0.955997 t=1031
yan shi 	岩石	c=1 d=0.909373 t=1031
yang lian 	杨炼	c=1 d=0.995012 t=1031
yao 	尧	c=1 d=0.29523 t=1031
yao gun 	摇滚	c=1 d=0.995012 t=1031
ye 	也	c=1 d=0.955997 t=1031
ye 	夜	c=1 d=0.715338 t=1031
ye 	页	c=2 d=1.83815 t=1031
ye huo 	野火	c=1 d=0.985112 t=1031
ye wan 	夜晚	c=4 d=2.82551 t=1031
ye zao shu 	椰枣树	c=1 d=0.965605 t=1031
yi 	一	c=1 d=0.99005 t=1031
yi 	已	c=2 d=1.52355 t=1031
yi chi 	一匙	c=1 d=0.537944 t=1031
yi dao 	一道	c=1 d=0.782705 t=1031
yi dong duan 	移动端	c=2 d=1.91693 t=1031
yi ge 	一个	c=2 d=1.81965 t=1031
yi hang shi 	一行诗	c=1 d=0.960789 t=1031
yi ji 	以及	c=1 d=0.970446 t=1031
yi jian 	意见	c=1 d=0.856415 t=1031
yi ju 	依据	c=1 d=0.847894 t=1031
yi ju 	衣裾	c=1 d=0.740818 t=1031
yi ke 	一颗	c=1 d=0.310367 t=1031
yi lv 	一缕	c=1 d=0.818731 t=1031
yi mei ying bi 	一枚硬币	c=1 d=1 t=1031
yi pian 	一篇	c=2 d=1.48905 t=1031
yi ran 	依然	c=1 d=0.882497 t=1031
yi shi wu cheng 	一事无成	c=1 d=0.965605 t=1031
yi si 	意思	c=1 d=0.927743 t=1031
yi yang 	一样	c=3 d=2.31188 t=1031
yi zhi 	一只	c=1 d=1 t=1031
yin 	印	c=1 d=0.298197 t=1031
yin fu 	音符	c=1 d=0.755784 t=1031
yin wei 	因为	c=1 d=0.904837 t=1031
yin wo 	因我	c=1 d=0.348192 t=1031
yin yue 	音乐	c=2 d=2.09986 t=1031
yin yue yuan 	音乐源	c=1 d=0.970446 t=1031
ying 	颖	c=1 d=0.701173 t=1031
ying pan 	硬盘	c=1 d=0.923116 t=1031
ying wen 	英文	c=1 d=1 t=1031
yong bao 	拥抱	c=1 d=0.946485 t=1031
yong chu 	涌出	c=1 d=0.980199 t=1031
yong lai 	用来	c=1 d=0.965605 t=1031
yong qi 	勇气	c=2 d=0.733447 t=1031
yong you ni 	拥有你	c=1 d=0.985112 t=1031
yong yu 	用于	c=1 d=0.970446 t=1031
yong yue 	咏月	c=1 d=1 t=1031
you 	又	c=1 d=0.97531 t=1031
you 	有	c=2 d=0.831104 t=1031
you ge 	有个	c=1 d=0.628135 t=1031
you ji 	邮寄	c=1 d=0.895834 t=1031
you ke neng 	有可能	c=1 d=0.818731 t=1031
you que dian 	优缺点	c=1 d=1 t=1031
you ru 	犹如	c=1 d=0.937067 t=1031
you sheng zhi nian 	有生之年	c=1 d=0.869358 t=1031
you yi 	犹疑	c=1 d=0.798516 t=1031
yu 	玉	c=2 d=1.43587 t=1031
yu 	羽	c=1 d=1 t=1031
yu 	雨	c=1 d=0.878095 t=1031
yu dong jie dao 	玉洞街道	c=5 d=3.6825 t=1031
yu long 	玉龙	c=3 d=2.01324 t=1031
yu long wu li 	玉龙五里	c=1 d=1 t=1031
yu ming 	域名	c=1 d=0.99005 t=1031
yu yan 	语言	c=1 d=0.941765 t=1031
yu zhou 	宇宙	c=1 d=0.88692 t=1031
yuan 	源	c=2 d=1.94872 t=1031
yuan fang 	远方	c=1 d=0.410656 t=1031
yuan liang 	原谅	c=3 d=1.36285 t=1031
yuan liang wo 	原谅我	c=3 d=1.6429 t=1031
yue du 	阅读	c=2 d=1.83946 t=1031
yue guo 	越过	c=1 d=0.927743 t=1031
yun 	云	c=1 d=0.985925 t=1031
yun fu wu qi 	云服务器	c=2 d=1.90362 t=1031
yun wu 	云雾	c=1 d=0.83527 t=1031
zai 	在	c=11 d=4.23182 t=1031
ze 	则	c=1 d=0.960789 t=1031
zha dao 	扎到	c=1 d=0.436049 t=1031
zhai chao 	摘抄	c=1 d=0.99005 t=1031
zhan 	站	c=1 d=0.491644 t=1031
zhan li 	战栗	c=1 d=0.960789 t=1031
zhan zheng 	战争	c=1 d=0.414783 t=1031
zhang ai 	障碍	c=1 d=0.932394 t=1031
zhang chi bang 	长翅膀	c=1 d=0.927743 t=1031
zhao dao 	找到	c=2 d=1.71498 t=1031
zhe 	着	c=2 d=0.814647 t=1031
zhe bu 	这不	c=1 d=0.97531 t=1031
zhe dian 	这点	c=1 d=0.985112 t=1031
zhe ge 	这个	c=2 d=1.32896 t=1031
zhe li 	这里	c=1 d=0.737123 t=1031
zhe xie nian lai 	这些年来	c=1 d=0.546074 t=1031
zhe yang 	这样	c=1 d=0.932394 t=1031
zhen 	震	c=1 d=0.985112 t=1031
zhen li 	真理	c=1 d=0.67032 t=1031
zheng fan mian 	正反面	c=1 d=0.955997 t=1031
zheng jiu 	拯救	c=1 d=0.985112 t=1031
zheng li 	整理	c=1 d=0.995012 t=1031
zheng shu 	证书	c=1 d=0.995012 t=1031
zhi 	之	c=1 d=0.71177 t=1031
zhi 	志	c=1 d=0.970446 t=1031
zhi 	致	c=1 d=0.697676 t=1031
zhi chu 	之处	c=1 d=0.33454 t=1031
zhi chu 	掷出	c=2 d=0.794534 t=1031
zhi dao 	知道	c=1 d=0.860708 t=1031
zhi du 	只读	c=1 d=0.995012 t=1031
zhi hu 	知乎	c=2 d=1.97521 t=1031
zhi jian 	之间	c=1 d=0.810584 t=1031
zhi neng 	只能	c=1 d=0.960789 t=1031
zhi qian 	致歉	c=10 d=5.3922 t=1031
zhi shi 	知识	c=1 d=0.980199 t=1031
zhi xie 	只写	c=1 d=0.955997 t=1031
zhi xue wang 	智学网	c=1 d=1 t=1031
zhi you 	只有	c=1 d=0.869358 t=1031
zhong 	中	c=2 d=0.989016 t=1031
zhong 	钟	c=1 d=1 t=1031
zhong sheng 	众生	c=1 d=0.923116 t=1031
zhong sheng 	钟声	c=1 d=0.927743 t=1031
zhou 	周	c=1 d=0.980199 t=1031
zhou ce 	周测	c=1 d=0.995012 t=1031
zhou jie lun 	周杰伦	c=1 d=0.985112 t=1031
zhu jian 	逐渐	c=1 d=0.366045 t=1031
zhu shi zhe 	注视着	c=1 d=0.818731 t=1031
zhuan 	转	c=1 d=0.932394 t=1031
zhuan xue 	转学	c=1 d=0.97531 t=1031
zhui lie 	追猎	c=1 d=0.506617 t=1031
zhui sui 	追随	c=1 d=0.918512 t=1031
zhuo zi 	桌子	c=1 d=0.609571 t=1031
zi 	自	c=1 d=0.99005 t=1031
zi ci 	字词	c=1 d=0.748264 t=1031
zi dan 	子弹	c=1 d=1.08955 t=1031
zi dan ri ji 	子弹日记	c=1 d=1 t=1031
zi dian 	字典	c=1 d=1 t=1031
zi ge zheng 	资格证	c=1 d=0.729789 t=1031
zi ji 	自己	c=7 d=5.55231 t=1031
zi tuo guan 	自托管	c=1 d=0.985112 t=1031
zi xing 	自行	c=1 d=0.704688 t=1031
zi yan 	字眼	c=1 d=0.970446 t=1031
zou jin ni 	走近你	c=1 d=0.960789 t=1031
zui yuan chu 	最远处	c=1 d=0.891366 t=1031
zun yan 	尊严	c=1 d=0.690734 t=1031
zuo 	做	c=1 d=0.865022 t=1031
zuo shen me 	做什么	c=1 d=0.860708 t=1031
zuo wei 	座位	c=0 d=0.0951229 t=1031
